idArticle;refERP;description;length;width;heigth;weigth;category;unityOfMeasure;rateOfConversion;grossPrice;buyPrice
1;073735170;Fundo Primo, piatto doccia filo/ quadrato, scarico centrale;900;900;40;0;T;pc;1;325.72;90.22
2;073736170;Fundo Primo, piatto doccia filo/ quadrato, scarico decentrato;900;900;40;0;T;pc;1;325.72;90.22
3;073735131;Fundo Primo, piatto doccia filo/ quadrato, scarico centrale;1000;1000;40;0;T;pc;1;351.79;97.45
4;073735531;Fundo Primo, piatto doccia filo/ quadrato, scarico decentrato;1000;1000;40;0;T;pc;1;351.79;97.45
5;073735171;Fundo Primo, piatto doccia filo/ quadrato, scarico centrale;1200;1200;40;0;T;pc;1;364.89;101.07
6;073736171;Fundo Primo, piatto doccia filo/ quadrato, scarico decentrato;1200;1200;40;0;T;pc;1;364.89;101.07
7;073735175;Fundo Primo, piatto doccia filo/ quadrato, scarico centrale;1500;1500;40;0;T;pc;1;402.51;111.49
8;073736175;Fundo Primo, piatto doccia filo/ quadrato, scarico decentrato;1500;1500;40;0;T;pc;1;402.51;111.49
9;073735176;Fundo Primo, piatto doccia filo/ rettangolare, scarico centrale;900;750;40;0;T;pc;1;313.64;86.88
10;073735174;Fundo Primo, piatto doccia filo/ rettangolare, scarico centrale;1200;900;40;0;T;pc;1;349.49;96.81
11;073736174;Fundo Primo, piatto doccia filo/ rettangolare, scarico decentrato;1200;900;40;0;T;pc;1;349.49;96.81
12;073735196;Fundo Primo, piatto doccia filo/ rettangolare, scarico centrale;1400;900;40;0;T;pc;1;361.45;100.14
13;073735150;Fundo Primo, piatto doccia filo/ rettangolare, scarico decentrato;1400;900;40;0;T;pc;1;361.45;100.14
14;073735198;Fundo Primo, piatto doccia filo/ rettangolare, scarico centrale;1400;1000;40;0;T;pc;1;374.74;103.8
15;073736120;Fundo Primo, piatto doccia filo/ rettangolare, scarico centrale;1500;900;40;0;T;pc;1;368.1;101.97
16;073736121;Fundo Primo, piatto doccia filo/ rettangolare, scarico centrale;1500;1000;40;0;T;pc;1;381.38;105.64
17;073735151;Fundo Primo, piatto doccia filo/ rettangolare, scarico decentrato;1600;900;40;0;T;pc;1;376.62;104.33
18;073735152;Fundo Primo, piatto doccia filo/ rettangolare, scarico decentrato;1600;1000;40;0;T;pc;1;392.19;108.63
19;073735580;Fundo Primo, piatto doccia filo/ rettangolare, scarico centrale;1800;900;40;0;T;pc;1;396.6;109.86
20;073735180;Fundo Primo, piatto doccia filo/ rettangolare, scarico decentrato;1800;900;40;0;T;pc;1;396.6;109.86
21;073736176;Fundo Primo, piatto doccia filo/ rettangolare, scarico decentrato;2000;1000;40;0;T;pc;1;413.36;118.99
22;077000015;Scarico Primo minimax, DN 40, extrapiatto ;0;0;0;0;TS;pc;1;55.76;16.42
23;077000007;Scarico Primo verticale, DN 50 ;0;0;0;0;TS;pc;1;55.76;16.42
24;077000008;Scarico Primo verticale, DN 50, griglia rotonda ;0;0;0;0;TS;pc;1;55.76;16.42
25;073749002;Scarico Primo verticale, DN 50, con tagliafuoco ;0;0;0;0;TS;pc;1;219.78;64.69
26;077000011;Scarico Primo orizontale, DN 50 ;0;0;0;0;TS;pc;1;55.76;16.42
27;077000012;Scarico Primo orizontale, DN 50, griglia rotonda ;0;0;0;0;TS;pc;1;55.76;16.42
28;077000010;Scarico Primo verticale, DN 70 ;0;0;0;0;TS;pc;1;55.76;16.42
29;073749012;Scarico Primo verticale, DN 70, con tagliafuoco ;0;0;0;0;TS;pc;1;219.78;73.78
30;073735625;Fundo Plano, quadrato;900;900;65;0;T;pc;1;568.04;178.07
31;073735626;Fundo Plano, quadrato;1000;1000;65;0;T;pc;1;649.17;203.51
32;073735627;Fundo Plano, quadrato;1200;1200;65;0;T;pc;1;704.96;221
33;075900004;Fundo integro, quadrato;900;900;90;0;T;pc;1;598.53;187.63
34;075900008;Fundo integro, quadrato;1000;1000;90;0;T;pc;1;684;214.44
35;075900007;Fundo integro, quadrato;1200;1200;90;0;T;pc;1;742.79;232.86
